Number,Symbol,Name,Industry,Market Cap
217,AIRT,Air T,Air Freight & Logistics,60703645
218,AIT,Applied Industrial Technologies,Trading Companies & Distributors,3983324373
219,AIV,Apartment Investment & Management Company,Equity Real Estate Investment Trusts ...,1127388795
220,AIZ,Assurant,Insurance,10700290971
221,AJG,Arthur J. Gallagher & Company,Insurance,36975906777
222,AJRD,Aerojet Rocketdyne Holdings,Aerospace & Defense,3237876960
223,AJX,Great Ajax,Mortgage Real Estate Investment Trust...,267142921
224,AKA,a.k.a. Brands Holding,Internet Retail,563478270
225,AKAM,Akamai Technologies,IT Services,19390179268
226,AKAN,Akanda,Drug Manufacturers-Specialty & Generic,249722792
227,AKBA,Akebia Therapeutics,Biotechnology,121026071
228,AKIC,Sports Ventures Acquisition,Blank Check / SPAC,290276700
229,AKO.A,Embotelladora Andina,Beverages-Non-Alcoholic,2038696440
230,AKO.B,Embotelladora Andina,Beverages-Non-Alcoholic,2172382712
231,AKR,Acadia Realty Trust,Equity Real Estate Investment Trusts ...,2151322092
232,AKRO,Akero Therapeutics,Biotechnology,521342066
233,AKTS,Akoustis Technologies,"Electronic Equipment, Instruments & C...",357557502
234,AKTX,Akari Therapeutics,Pharmaceuticals,61251791
235,AKU,Akumin,Diagnostics & Research,98819967
236,AKUS,Akouos,Biotechnology,161776395
237,AKYA,Akoya Biosciences,Medical Instruments & Supplies,406232252
238,AL,Air Lease,Trading Companies & Distributors,5069227996
239,ALAC,Alberton Acquisition,Blank Check / SPAC,53761440
240,ALB,Albemarle,Chemicals,26340831040
241,ALBO,Albireo Pharma,Biotechnology,598282679
242,ALC,Alcon,Medical Instruments & Supplies,39324180417
243,ALCC,AltC Acquisition,Blank Check / SPAC,624152000
244,ALCO,Alico,Food Products,286574633
245,ALDX,Aldeyra Therapeutics,Biotechnology,273646299
246,ALE,ALLETE,Electric Utilities,3401925100
247,ALEC,Alector,Biotechnology,1154299901
248,ALEX,Alexander & Baldwin,Equity Real Estate Investment Trusts ...,1715257463
249,ALF,"ALFI, Inc.",Software-Infrastructure,26202364
250,ALG,Alamo Group,Machinery,1702517258
251,ALGM,Allegro MicroSystems,Semiconductors & Semiconductor Equipment,5349877239
252,ALGN,Align Technology,Health Care Equipment & Supplies,35175100047
253,ALGS,Aligos Therapeutics,Biotechnology,84961255
254,ALGT,Allegiant Travel Company,Airlines,2900998879
255,ALHC,Alignment Healthcare,Health Care Providers & Services,2192425462
256,ALIM,Alimera Sciences,Pharmaceuticals,37760310
257,ALIT,Alight,Software-Application,5084046846
258,ALJJ,ALJ Regional Holdings,IT Services,109414704
259,ALK,Alaska Air Group,Airlines,7306741707
260,ALKS,Alkermes,Biotechnology,4544849915
261,ALKT,Alkami Technology,Software-Application,1316325878
262,ALL,The Allstate Corporation,Insurance,38840397770
263,ALLE,Allegion,Building Products,9839454208
264,ALLG,Allego,Auto Parts,3269038080
265,ALLK,Allakos,Biotechnology,319942332
266,ALLO,Allogene Therapeutics,Biotechnology,1349006333
267,ALLR,Allarity Therapeutics,Biotechnology,16716945
268,ALLT,Allot,Software,304800312
269,ALLY,Ally Financial,Consumer Finance,14653960167
270,ALNA,Allena Pharmaceuticals,Biotechnology,19687151
271,ALNY,Alnylam Pharmaceuticals,Biotechnology,20350349207
272,ALOR,ALSP Orchid Acquisition I,Blank Check / SPAC,223875909
273,ALOT,AstroNova,"Technology Hardware, Storage & Periph...",109644491
274,ALPA,Alpha Healthcare Acquisition III,Blank Check / SPAC,192550040
275,ALPN,Alpine Immune Sciences,Biotechnology,271740759
276,ALPP,Alpine 4 Holdings,Metal Fabrication,194257711
277,ALR,AlerisLife,Medical Care Facilities,70130422
278,ALRM,Alarm.com Holdings,Software,3384449214
279,ALRN,Aileron Therapeutics,Biotechnology,49815480
280,ALRS,Alerus Financial,Diversified Financial Services,473830920
281,ALSA,Alpha Star Acquisition,Blank Check / SPAC,145432440
282,ALSN,Allison Transmission Holdings,Machinery,3753371878
283,ALT,Altimmune,Biotechnology,268845181
284,ALTG,Alta Equipment Group,Trading Companies & Distributors,446291286
285,ALTO,Alto Ingredients,"Oil, Gas & Consumable Fuels",510930875
286,ALTR,Altair Engineering,Software,5081759192
287,ALTU,Altitude Acquisition,Blank Check / SPAC,373124990
288,ALV,Autoliv,Auto Components,6739273148
289,ALVR,AlloVir,Biotechnology,450883963
290,ALX,Alexander's,Equity Real Estate Investment Trusts ...,1332951356
291,ALXO,ALX Oncology Holdings,Biotechnology,738669743
292,ALYA,Alithya Group,IT Services,232075611
293,ALZN,Alzamend Neuro,Biotechnology,104519016
294,AM,Antero Midstream,"Oil, Gas & Consumable Fuels",5206744569
295,AMAL,Amalgamated Financial,Banks,555093366
296,AMAM,Ambrx Biopharma,Biotechnology,142617216
297,AMAO,American Acquisition Opportunity,Blank Check / SPAC,136691725
298,AMAT,Applied Materials,Semiconductors & Semiconductor Equipment,1.15969E+11
299,AMBA,Ambarella,Semiconductors & Semiconductor Equipment,3790967492
300,AMBC,Ambac Financial Group,Insurance,471247290
301,AMBO,Ambow Education Holding,Diversified Consumer Services,16742311
302,AMBP,Ardagh Metal Packaging,Packaging & Containers,5007365631
303,AMC,AMC Entertainment Holdings,Entertainment,11960588277
304,AMCI,AMCI Acquisition II,Blank Check / SPAC,182793750
305,AMCR,Amcor,Containers & Packaging,17468444661
306,AMCX,AMC Networks,Media,1746742883
307,AMD,Advanced Micro Devices,Semiconductors & Semiconductor Equipment,1.76064E+11
308,AME,AMETEK,Electrical Equipment,31135979439
309,AMED,Amedisys,Health Care Providers & Services,5654592945
310,AMEH,Apollo Medical Holdings,Health Care Providers & Services,2220458984
311,AMG,Affiliated Managers Group,Capital Markets,5746800039
312,AMGN,Amgen,Biotechnology,1.35845E+11
313,AMH,American Homes 4 Rent,Equity Real Estate Investment Trusts ...,16325130232
314,AMK,AssetMark Financial Holdings,Capital Markets,1717953791
315,AMKR,Amkor Technology,Semiconductors & Semiconductor Equipment,5212724212
316,AMLX,Amylyx Pharmaceuticals,Biotechnology,727282105
317,AMN,AMN Healthcare Services,Health Care Providers & Services,4839784873
318,AMNB,American National Bankshares,Banks,406454212
319,AMOT,Allied Motion Technologies,Electrical Equipment,460309694
320,AMOV,America Movil,Wireless Telecommunication Services,69820547059
321,AMP,Ameriprise Financial,Capital Markets,32886706164
322,AMPE,Ampio Pharmaceuticals,Pharmaceuticals,103801743
323,AMPG,AmpliTech Group,Communication Equipment,29608719
324,AMPH,Amphastar Pharmaceuticals,Pharmaceuticals,1801175528
325,AMPI,Advanced Merger Partners,Blank Check / SPAC,351468730
326,AMPL,Amplitude,Software-Application,2062711799
